rank,feature_index,importance
1,31,0.03896444148409461
2,39,0.03841302926272346
3,35,0.038330617972686894
4,34,0.036166048126182924
5,37,0.033050701276229055
6,33,0.03242422129759049
7,36,0.03055839045111538
8,38,0.02971676527044533
9,26,0.02819354493806725
10,18,0.028076953822844836
11,21,0.02774216403137705
12,29,0.027586876846645805
13,17,0.02742474190556512
14,24,0.026818122635979824
15,32,0.026811176648360704
16,30,0.026656085702496845
17,23,0.02582507400873739
18,20,0.025787079381267307
19,25,0.02542085083631537
20,28,0.02511339235332525
21,19,0.02445004796728778
22,27,0.024368253075651953
23,16,0.023803657281265798
24,22,0.022238805432177128
25,6,0.020939963910669445
26,14,0.020675261287401617
27,13,0.02064926877781397
28,1,0.020592426520189094
29,15,0.020588043052290034
30,11,0.01998580794430435
31,12,0.019337564521643265
32,8,0.019307113481548087
33,4,0.01878906959210336
34,9,0.018481941896899216
35,5,0.01845601495507533
36,7,0.018109005029186526
37,3,0.017867624685536366
38,0,0.017616152257681678
39,10,0.017538702310487826
40,2,0.017124997768736282
